"Bioproject.Accession";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Strain";"Phenotype";"Relevance";"Diseases";"Host.Name";"Ecosystem.Category";"Habitat";"Study.Name";"HumanHost";"Pathogenic"
"PRJNA53927";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Aggregatibacter";"Aggregatibacter actinomycetemcomitans";"Aggregatibacter actinomycetemcomitans sv. d I63B";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Periodontal infection, Periodontitis";"Homo sapiens";"Animal";"Host, Oral cavity";"Aggregatibacter genome sequencing, USC School of Dentistry, USA";TRUE;TRUE
"PRJNA71887";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus sobrinus";"Streptococcus sobrinus TCI-56";"Catalase negative, Pathogen";"Dental Pathogen";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA17971";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae SP23-BS72";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host, Nasopharyngeal microflora";"Comparative genomic analyses of seventeen Streptococcus pneumoniae strains: insights into the pneumococcal supragenome";TRUE;TRUE
"PRJNA13952";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia pseudomallei";"Burkholderia pseudomallei Pasteur (re-annotation)";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Bacteremia, Melioidosis, Pneumonia";"Homo sapiens";"";"Host, Soil";"Burkholderia Pathogen - TIGR";TRUE;TRUE
"PRJNA62411";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter bereziniae";"Acinetobacter bereziniae Brisou 64, LMG 1003";"";"Human Pathogen";"";"Homo sapiens";"Human";"Host";"Acinetobacter bereziniae Brisou 64, LMG 1003";TRUE;TRUE
"PRJNA41933";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Enteritidis PT23";"Biofilm";"";"Food poisoning, Gastroenteritis";"Homo sapiens";"";"";"Salmonella enterica subsp. enterica serovar Enteritidis str. PT23";TRUE;TRUE
"PRJNA180";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Brucella";"Brucella melitensis";"Brucella melitensis bv. 1 16M (re-annotation)";"Facultative intracellular, Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Abortion, Bacteremia, Brucellosis, Fever, Infectious abortions";"Capra hircus";"Mammals";"Animal, Host, Human";"Brucella melitensis bv 1, 16M";TRUE;TRUE
"PRJNA20185";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Ureaplasma";"Ureaplasma parvum";"Ureaplasma parvum sv. 14 U26";"Pathogen";"Human Pathogen, Medical";"Respiratory infection, Urinary tract infection";"Homo sapiens";"Human";"Host";"Genome sequence of Ureaplasma parvum";TRUE;TRUE
"PRJNA63887";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HC-46A1";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA72071";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-224";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA86247";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae CCUG 44077";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"Human";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA63789";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz LV2953";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA64295";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis PY-08";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Bubonic and Pneumonic plague";"Homo sapiens";"";"Host";"Genome sequence of Yersinia Pestis";TRUE;TRUE
"PRJNA65079";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz LV2756C6";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA59707";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Inverness R8-3668";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Inverness R8-3668";TRUE;TRUE
"PRJNA66";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus gordonii";"Streptococcus gordonii Challis CH1";"Pathogen";"Human Pathogen, Medical";"Caries, Dental plaque, Endocarditis, Periodontal infection";"Homo sapiens";"";"Host, Human oral cavity";"Streptococcus gordonii Challis CH1";TRUE;TRUE
"PRJNA70631";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus DR10";"";"Medical";"Invasive, Skin infection, Soft tissue infection";"Homo sapiens";"Human";"";"Staphylococcus aureus subsp. aureus DR10";TRUE;TRUE
"PRJNA33373";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli IAI1";"Highly Virulent, Pathogen";"Comparative analysis, Human Pathogen, Medical";"Meningitis";"Homo sapiens";"";"Host, Human intestinal microflora";"Escherichia coli genome sequencing - Genoscope";TRUE;TRUE
"PRJNA32963";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus faecium";"Enterococcus faecium 1,231,408";"Pathogen";"Human Pathogen, Medical";"Nocosomial infection, Opportunistic infection";"Homo sapiens";"";"Host, Wastewater";"Genome Sequencing of Enterococcus, Broad Institute";TRUE;TRUE
"PRJNA32897";"Actinobacteria";"Actinobacteria";"Bifidobacteriales";"Bifidobacteriaceae";"Bifidobacterium";"Bifidobacterium animalis";"Bifidobacterium animalis lactis Bl-04, ATCC SD5219";"Non-Pathogen, Probiotic";"Biotechnological, Food industry";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Intestinal tract";"Bifidobacterium animalis lactis Bl-04, ATCC SD5219";TRUE;FALSE
"PRJNA17731";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus B4264";"Pathogen";"Biothreat, Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host, Soil";"Bacillus cereus sequencing - TIGR";TRUE;TRUE
"PRJNA18167";"Actinobacteria";"Actinobacteria";"Coriobacteriales";"Coriobacteriaceae";"Collinsella";"Collinsella aerofaciens";"Collinsella aerofaciens ATCC 25986";"Non-Pathogen";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;FALSE
"PRJNA48959";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae NP141";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae NP141";TRUE;TRUE
"PRJNA63805";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz LV3323";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA63869";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HC-7A1";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA53601";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus 21178";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJEA61197";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Weltevreden 2007-60-3289-1";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"Animal";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Weltevreden 2007-60-3289-1";TRUE;TRUE
"PRJNA28513";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae sv. 9v SP9v-BS293";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host, Nasopharyngeal microflora";"Characterization, distribution, and expression of novel genes among eight clinical isolates of Streptococcus pneumoniae";TRUE;TRUE
"PRJNA53449";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii WC-A-694";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Human";"Fresh water, Host, Human skin, Skin";"Genome sequencing of  Acinetobacter baumannii Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA19657";"Firmicutes";"Clostridia";"Clostridiales";"Eubacteriaceae";"Anaerofustis";"Anaerofustis stercorihominis";"Anaerofustis stercorihominis DSM 17244";"Non-Pathogen";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;FALSE
"PRJNA53731";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus epidermidis";"Staphylococcus epidermidis VCU065";"";"Medical";"Pneumonia, Septicemia";"";"";"Host, Human airways";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA18975";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Coxiellaceae";"Coxiella";"Coxiella burnetii";"Coxiella burnetii RSA 334";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Food poisoning, Q fever";"Homo sapiens";"";"Host";"Coxiella burnetii RSA 334";TRUE;TRUE
"PRJNA18495";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae sv. O14 MZO-2";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Human";"Fresh water, Host";"Vibrio cholerae genome sequencing";TRUE;TRUE
"PRJNA72249";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O121:H19 MT#2";"";"Food industry";"Food poisoning";"Homo sapiens";"Human";"Gastrointestinal tract";"Non-O157 Shiga toxin-producing Escherichia coli in foods- FDA";TRUE;TRUE
"PRJNA71965";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-82";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA19089";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Ureaplasma";"Ureaplasma urealyticum";"Ureaplasma urealyticum sv. 8 T 960";"Pathogen";"Human Pathogen, Medical";"Chorioamnioitis, Infertility, Non-specific urethritis (NSU)";"Homo sapiens";"Animal";"Host, Urogenital tract";"Genome sequence of Ureaplasma parvum";TRUE;TRUE
"PRJNA18199";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium";"Faecalibacterium prausnitzii";"Faecalibacterium prausnitzii A2-165";"Non-Pathogen";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;FALSE
"PRJNA60657";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus CIG1214";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"Human";"Host";"Staphylococcus aureus aureus genomes";TRUE;TRUE
"PRJNA72003";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-149";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA86461";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00013";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA34081";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter radioresistens";"Acinetobacter radioresistens SK82";"Pathogen, Radiation resistant";"Human Microbiome Project (HMP), Medical";"Nocosomial infection";"Homo sapiens";"Human";"Host, Human skin, Skin";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA18169";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiales Family XI. Incertae Sedis";"Parvimonas";"Parvimonas micra";"Parvimonas micra ATCC 33270";"Pathogen";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Human Pathogen, Medical";"Periodontal infection";"Homo sapiens";"Human";"Host, Human intestinal microflora, Human mucocutaneous surfaces, Human oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA29219";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"Lactobacillus rhamnosus";"Lactobacillus rhamnosus HN001";"Non-Pathogen, Probiotic";"Biotechnological, Food industry";"";"Homo sapiens";"";"Host, Intestinal tract";"Lactobacillus rhamnosus HN001";TRUE;FALSE
"PRJNA50423";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus anginosus";"Streptococcus anginosus C1051";"";"Medical";"Abscesses";"Homo sapiens";"Human";"Host, Human airways";"Streptococcus anginosus C1051";TRUE;TRUE
"PRJNA27827";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides eggerthii";"Bacteroides eggerthii DSM 20697";"Non-Pathogen";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human fecal, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;FALSE
"PRJNA29299";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Providencia";"Providencia rettgeri";"Providencia rettgeri DSM 1131";"";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"Gastroenteritis";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA86181";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae FSL S3-337";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA86503";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00300";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA43603";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium tuberculosis";"Mycobacterium tuberculosis SUMu001";"Pathogen";"Comparative analysis, Medical";"Tuberculosis";"Homo sapiens";"";"Host";"Mycobacterium tuberculosis SUMu strains- Broad Institute";TRUE;TRUE
"PRJNA50985";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC8D";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA13151";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Shigella";"Shigella sonnei";"Shigella sonnei Ss046";"Pathogen";"Human Pathogen, Medical";"Dysenteria, Food poisoning";"Homo sapiens";"Human";"Host";"Genome dynamics and diversity of Shigella species";TRUE;TRUE
"PRJNA64215";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp H-24b";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA71893";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus sobrinus";"Streptococcus sobrinus TCI-79";"Catalase negative, Pathogen";"Dental Pathogen";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA41461";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Rissen WP1";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Rissen WP1";TRUE;TRUE
"PRJNA16720";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa sv. O12 PA7";"Pathogen";"Agricultural, Animal Pathogen, Comparative analysis, Human Pathogen, Medical, Plant Pathogen";"Opportunistic infection";"Homo sapiens";"Unclassified";"Fresh water, Host, Soil";"Pseudomonas aeruginosa PA7";TRUE;TRUE
"PRJNA13887";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pyogenes";"Streptococcus pyogenes sv. M28 MGAS6180 (re-annotation)";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Pharyngitis, Tonsillitis";"Homo sapiens";"Human";"Host, Human nasopharyngeal microflora";"Streptococcus pyogenes M28, MGAS6180";TRUE;TRUE
"PRJNA16249";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bartonellaceae";"Bartonella";"Bartonella bacilliformis";"Bartonella bacilliformis KC583";"Pathogen";"Human Pathogen, Medical";"Carrion's disease, Oroya fever";"Homo sapiens";"";"Blood, Host";"Bartonella bacilliformis KC583";TRUE;TRUE
